time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.15917
0,1.875,0.16401
0,3.75,0.16809
0,5.625,0.17034
0,7.5,0.17305
0,9.375,0.1696
0,11.25,0.16504
0,13.125,0.16319
0,15,0.16067
0,16.875,0.16189
0,18.75,0.16177
0,20.625,0.16224
0,22.5,0.16449
0,24.375,0.16721
0,26.25,0.16825
0,28.125,0.17075
0,30,0.17024
0,31.875,0.16784
0,33.75,0.1654
0,35.625,0.16306
0,37.5,0.16233
0,39.375,0.16237
0,41.25,0.16459
0,43.125,0.16518
0,45,0.16814
0,46.875,0.16801
0,48.75,0.16697
0,50.625,0.16411
0,52.5,0.1611
0,54.375,0.15933
0,56.25,0.16115
0,58.125,0.16213
0,60,0.16319
0,61.875,0.16508
0,63.75,0.1647
0,65.625,0.16518
0,67.5,0.16609
0,69.375,0.16621
0,71.25,0.16888
0,73.125,0.17096
0,75,0.1717
