time_elapsed_(s),coefficient_of_friction,sliding_distance_(mm),standard_deviations
0,0.21865,0.0,0.08000000000000002
0,0.19783000000000003,1.875,0.08000000000000002
0,0.20394,3.75,0.08
0,0.20249000000000003,5.625,0.08
0,0.21899000000000002,7.5,0.08000000000000002
0,0.21675999999999998,9.375,0.07999999999999999
0,0.28037,11.25,0.07999999999999999
0,0.37010999999999994,13.125,0.08000000000000002
0,0.52885,15.0,0.07999999999999999
0,0.7259899999999999,16.875,0.08000000000000002
0,0.9172700000000001,18.75,0.08000000000000002
0,1.0663,20.625,0.08000000000000007
