time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.2032
0,1.875,0.23344
0,3.75,0.234
0,5.625,0.18829
0,7.5,0.22092
0,9.375,0.23337
0,11.25,0.2354
0,13.125,0.22336
0,15,0.23587
0,16.875,0.25699
0,18.75,0.25952
0,20.625,0.23664
0,22.5,0.2214
0,24.375,0.21174
0,26.25,0.20813
0,28.125,0.20991
0,30,0.20264
0,31.875,0.19702
0,33.75,0.2075
0,35.625,0.22547
0,37.5,0.22907
0,39.375,0.21216
0,41.25,0.20327
0,43.125,0.2149
0,45,0.21512
0,46.875,0.23268
0,48.75,0.29634
0,50.625,0.36194
0,52.5,0.44582
0,54.375,0.58496
0,56.25,0.72509
0,58.125,0.91468
0,60,1.05188
